epoch,train_loss,val_loss,train_acc,val_acc,learning_rate,grad_norm,vram_allocated_mb,epoch_time_sec
1,0.71672,0.46605,90.976,97.504,0.0009990232305719944,1.0989,20.44,3.83
2,0.4787,0.44906,97.199,98.021,0.0009960967771506664,0.854,20.45,2.87
3,0.45467,0.42808,97.727,98.432,0.0009912321891107007,0.7475,20.45,2.8
4,0.44267,0.43934,98.009,98.03,0.0009844486647586721,0.6851,20.45,2.77
5,0.43302,0.41794,98.315,98.768,0.0009757729755661009,0.6185,20.45,2.71
6,0.42806,0.42335,98.461,98.612,0.0009652393605146842,0.5812,20.45,2.9
7,0.42275,0.41429,98.583,98.892,0.0009528893909706795,0.5422,20.45,2.64
8,0.41822,0.40783,98.702,98.99,0.0009387718066217122,0.5267,20.45,2.62
9,0.41488,0.40794,98.77,99.031,0.0009229423231234972,0.5062,20.45,2.6
10,0.41004,0.4075,98.942,98.99,0.0009054634122155987,0.4739,20.45,2.61
11,0.40957,0.40569,98.937,98.99,0.0008864040551740153,0.4636,20.45,3.47
12,0.40583,0.41948,99.019,98.596,0.0008658394705735984,0.441,20.45,3.41
13,0.4037,0.401,99.058,99.22,0.0008438508174347006,0.4252,20.45,2.75
14,0.40156,0.40279,99.163,99.122,0.000820524874925601,0.4045,20.45,2.86
15,0.39877,0.40122,99.213,99.187,0.000795953699884774,0.3823,20.45,2.75
16,0.39589,0.39797,99.332,99.286,0.000770234263514603,0.3445,20.45,3.08
17,0.39382,0.39881,99.394,99.253,0.0007434680686803488,0.3488,20.45,2.72
18,0.39375,0.39858,99.336,99.253,0.0007157607493247108,0.3519,20.45,2.93
19,0.39102,0.3971,99.449,99.343,0.0006872216535789154,0.3361,20.45,2.76
20,0.3902,0.39756,99.462,99.269,0.0006579634122155987,0.3289,20.45,2.76
21,0.38945,0.39339,99.493,99.409,0.0006281014941466028,0.3103,20.45,2.98
22,0.38744,0.39519,99.535,99.384,0.0005977537507199335,0.3015,20.45,2.66
23,0.38678,0.39603,99.544,99.286,0.0005670399506143305,0.2916,20.45,2.63
24,0.38545,0.39415,99.62,99.343,0.0005360813071670099,0.2782,20.45,2.75
25,0.38481,0.39354,99.626,99.392,0.0005049999999999998,0.2809,20.45,2.87
26,0.38296,0.39278,99.661,99.466,0.0004739186928329897,0.2573,20.45,3.05
27,0.38178,0.39183,99.716,99.433,0.0004429600493856692,0.2466,20.45,2.61
28,0.38074,0.39234,99.731,99.425,0.0004122462492800661,0.2466,20.45,2.61
29,0.38045,0.39116,99.735,99.425,0.0003818985058533967,0.2439,20.45,2.72
30,0.37971,0.39039,99.77,99.466,0.00035203658778440103,0.2347,20.45,2.61
31,0.37879,0.39068,99.812,99.458,0.00032277834642108444,0.2107,20.45,2.85
32,0.37765,0.39108,99.799,99.442,0.0002942392506752889,0.1994,20.45,2.7
33,0.37725,0.39011,99.828,99.475,0.00026653193131965077,0.2005,20.45,2.79
34,0.37638,0.39057,99.87,99.475,0.00023976573648539642,0.1854,20.45,2.63
35,0.37643,0.39056,99.858,99.458,0.00021404630011522574,0.1904,20.45,2.75
36,0.37571,0.38908,99.867,99.516,0.00018947512507439847,0.1745,20.45,3.19
37,0.3756,0.38911,99.861,99.507,0.000166149182565299,0.1872,20.45,2.87
38,0.37463,0.38825,99.9,99.557,0.00014416052942640132,0.1682,20.45,2.77
39,0.37435,0.38772,99.906,99.507,0.00012359594482598432,0.1613,20.45,2.67
40,0.37385,0.38845,99.923,99.54,0.00010453658778440102,0.1526,20.45,2.66
41,0.37396,0.38902,99.915,99.491,8.70576768765026e-05,0.1565,20.45,2.94
42,0.37355,0.38812,99.932,99.499,7.12281933782875e-05,0.1428,20.45,2.67
43,0.37321,0.38778,99.936,99.524,5.71106090293204e-05,0.1366,20.45,2.68
44,0.37294,0.38808,99.936,99.524,4.4760639485315563e-05,0.1294,20.45,2.95
45,0.37278,0.38833,99.951,99.499,3.422702443389899e-05,0.1284,20.45,3.12
46,0.3727,0.38801,99.954,99.491,2.5551335241327665e-05,0.1222,20.45,3.21
47,0.37257,0.38842,99.958,99.491,1.876781088929908e-05,0.1189,20.45,2.75
48,0.37248,0.38749,99.957,99.548,1.3903222849333505e-05,0.1149,20.45,2.6
49,0.37263,0.38794,99.946,99.499,1.0976769428005579e-05,0.1203,20.45,2.62
50,0.37226,0.38801,99.951,99.524,1e-05,0.1155,20.45,2.74
